week_start,year,week,product_id,prod_type,sales_forecast,actual_sales
2024-12-30,2025,1,SKU-0001,Electronics,47.83,47.85
2024-12-30,2025,1,SKU-0002,Electronics,40.41,35.38
2024-12-30,2025,1,SKU-0003,Electronics,44.33,41.39
2024-12-30,2025,1,SKU-0004,Electronics,46.21,36.68
2024-12-30,2025,1,SKU-0005,Electronics,51.09,59.589999999999996
2024-12-30,2025,1,SKU-0006,Electronics,46.18,45.15
2024-12-30,2025,1,SKU-0007,Electronics,35.01,29.2
2024-12-30,2025,1,SKU-0009,Electronics,36.32,41.72
2024-12-30,2025,1,SKU-0011,Electronics,43.84,46.78
2024-12-30,2025,1,SKU-0012,Electronics,39.67,37.42
2024-12-30,2025,1,SKU-0013,Electronics,39.06,37.0
2024-12-30,2025,1,SKU-0014,Electronics,47.48,45.06
2024-12-30,2025,1,SKU-0015,Electronics,43.879999999999995,53.31
2024-12-30,2025,1,SKU-0016,Electronics,46.019999999999996,49.53
2024-12-30,2025,1,SKU-0019,Electronics,42.51,36.730000000000004
2024-12-30,2025,1,SKU-0021,Electronics,51.31,39.56
2024-12-30,2025,1,SKU-0023,Electronics,54.59,54.870000000000005
2024-12-30,2025,1,SKU-0024,Electronics,36.64,40.57
2024-12-30,2025,1,SKU-0025,Electronics,48.95,41.26
2024-12-30,2025,1,SKU-0027,Apparel,77.55,79.85
2024-12-30,2025,1,SKU-0028,Apparel,75.07,74.35
2024-12-30,2025,1,SKU-0029,Apparel,72.0,74.35
2024-12-30,2025,1,SKU-0030,Apparel,76.25,80.42
2024-12-30,2025,1,SKU-0031,Apparel,69.55,67.75
2024-12-30,2025,1,SKU-0032,Apparel,78.7,77.66
2024-12-30,2025,1,SKU-0033,Apparel,74.25,78.07
2024-12-30,2025,1,SKU-0034,Apparel,81.8,81.44
2024-12-30,2025,1,SKU-0035,Apparel,80.27,74.19
2024-12-30,2025,1,SKU-0036,Apparel,76.22,77.09
2024-12-30,2025,1,SKU-0037,Apparel,77.6,76.89999999999999
2024-12-30,2025,1,SKU-0038,Apparel,70.73,64.72999999999999
2024-12-30,2025,1,SKU-0039,Apparel,79.62,78.52000000000001
2024-12-30,2025,1,SKU-0040,Apparel,74.45,87.71
2024-12-30,2025,1,SKU-0041,Apparel,80.32,81.52000000000001
2024-12-30,2025,1,SKU-0043,Apparel,81.71,81.74000000000001
2024-12-30,2025,1,SKU-0044,Apparel,81.68,81.25999999999999
2024-12-30,2025,1,SKU-0045,Apparel,81.96,87.21000000000001
2024-12-30,2025,1,SKU-0047,Apparel,75.89,76.01
2024-12-30,2025,1,SKU-0048,Apparel,73.23,59.93
2024-12-30,2025,1,SKU-0049,Apparel,78.32,76.69
2024-12-30,2025,1,SKU-0051,Home,61.01,54.53
2024-12-30,2025,1,SKU-0053,Home,55.230000000000004,51.61
2024-12-30,2025,1,SKU-0055,Home,56.74,68.64
2024-12-30,2025,1,SKU-0056,Home,50.0,48.32
2024-12-30,2025,1,SKU-0057,Home,55.7,57.67
2024-12-30,2025,1,SKU-0058,Home,51.59,52.83
2024-12-30,2025,1,SKU-0059,Home,56.89,57.03
2024-12-30,2025,1,SKU-0060,Home,55.019999999999996,59.56
2024-12-30,2025,1,SKU-0061,Home,53.41,52.59
2024-12-30,2025,1,SKU-0062,Home,55.28,50.35
2024-12-30,2025,1,SKU-0063,Home,50.42,56.95
2024-12-30,2025,1,SKU-0064,Home,55.04,58.79
2024-12-30,2025,1,SKU-0065,Home,58.6,45.870000000000005
2024-12-30,2025,1,SKU-0066,Home,50.75,42.5
2024-12-30,2025,1,SKU-0067,Home,56.19,56.65
2024-12-30,2025,1,SKU-0068,Home,53.88,49.519999999999996
2024-12-30,2025,1,SKU-0069,Home,62.739999999999995,69.0
2024-12-30,2025,1,SKU-0070,Home,51.79,52.44
2024-12-30,2025,1,SKU-0071,Home,56.230000000000004,57.26
2024-12-30,2025,1,SKU-0072,Home,56.849999999999994,57.97
2024-12-30,2025,1,SKU-0074,Home,61.72,59.95
2024-12-30,2025,1,SKU-0076,Toys,52.620000000000005,52.25
2024-12-30,2025,1,SKU-0077,Toys,56.26,54.120000000000005
2024-12-30,2025,1,SKU-0078,Toys,42.89,46.82
2024-12-30,2025,1,SKU-0079,Toys,43.56,43.54
2024-12-30,2025,1,SKU-0080,Toys,49.04,40.93
2024-12-30,2025,1,SKU-0082,Toys,42.61,32.92
2024-12-30,2025,1,SKU-0083,Toys,44.26,37.87
2024-12-30,2025,1,SKU-0084,Toys,33.39,37.38
2024-12-30,2025,1,SKU-0085,Toys,47.27,41.82
2024-12-30,2025,1,SKU-0086,Toys,55.730000000000004,46.47
2024-12-30,2025,1,SKU-0087,Toys,48.769999999999996,51.59
2024-12-30,2025,1,SKU-0088,Toys,51.72,40.97
2024-12-30,2025,1,SKU-0089,Toys,49.059999999999995,49.32
2024-12-30,2025,1,SKU-0090,Toys,47.14,49.71
2024-12-30,2025,1,SKU-0091,Toys,49.26,51.379999999999995
2024-12-30,2025,1,SKU-0093,Toys,50.85,51.45
2024-12-30,2025,1,SKU-0094,Toys,49.79,54.5
2024-12-30,2025,1,SKU-0095,Toys,48.84,47.25
2024-12-30,2025,1,SKU-0096,Toys,49.150000000000006,30.810000000000002
2024-12-30,2025,1,SKU-0097,Toys,43.67,46.9
2024-12-30,2025,1,SKU-0098,Toys,54.95,60.69
2024-12-30,2025,1,SKU-0099,Toys,49.370000000000005,39.81
2024-12-30,2025,1,SKU-0100,Toys,50.269999999999996,58.989999999999995
2025-01-06,2025,2,SKU-0001,Electronics,62.79,68.27
2025-01-06,2025,2,SKU-0002,Electronics,54.1,48.82
2025-01-06,2025,2,SKU-0003,Electronics,60.61,70.53
